"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHEL","EQ","05-Oct-2016","        138.00","        138.30","        138.90","        135.70","        136.55","        136.80","        137.05","    5046364","       6916.19","      26869","    1320384","         26.17"
"BHEL","EQ","06-Oct-2016","        136.80","        137.65","        140.00","        135.80","        136.05","        136.10","        138.01","    9079770","      12530.98","      50523","    2773308","         30.54"
"BHEL","EQ","07-Oct-2016","        136.10","        136.20","        136.40","        134.50","        135.00","        135.20","        135.30","    5229819","       7076.13","      34757","    1337288","         25.57"
"BHEL","EQ","10-Oct-2016","        135.20","        136.20","        136.60","        134.25","        135.05","        134.95","        135.57","    3726383","       5051.92","      21322","     837172","         22.47"
"BHEL","EQ","13-Oct-2016","        134.95","        134.80","        134.90","        131.35","        132.90","        132.45","        132.78","    6260360","       8312.80","      29730","    2498844","         39.92"
"BHEL","EQ","14-Oct-2016","        132.45","        133.00","        133.95","        132.15","        133.05","        132.90","        133.14","    4047167","       5388.32","      23760","    1387038","         34.27"
"BHEL","EQ","17-Oct-2016","        132.90","        133.20","        133.90","        129.80","        131.90","        131.70","        131.92","    5174195","       6826.05","      27370","    1291396","         24.96"
"BHEL","EQ","18-Oct-2016","        131.70","        132.80","        137.00","        132.40","        136.15","        136.20","        134.84","    7898215","      10650.19","      34801","    2492499","         31.56"
"BHEL","EQ","19-Oct-2016","        136.20","        139.10","        143.65","        139.10","        140.75","        141.25","        141.79","   18683689","      26492.00","      78032","    4009325","         21.46"
"BHEL","EQ","20-Oct-2016","        141.25","        142.25","        142.90","        140.75","        142.00","        142.15","        141.76","    5790946","       8209.09","      34110","    1045677","         18.06"
"BHEL","EQ","21-Oct-2016","        142.15","        142.00","        142.65","        140.35","        141.75","        141.70","        141.53","    4626655","       6548.25","      28504","     835220","         18.05"
